================================================================================
Section 1: High-frequency language
================================================================================

Common verbs
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あう	会う	to meet
あける	開ける	to open
あげる	(uk)	to give
あそぶ	遊ぶ	to play, to socialize
あつまる	集まる	to assemble
あつめる	集める	to collect
あらう	洗う	to wash
ある		(uk)	to be, to exist
あるく	歩く	to walk
いう	言う	to say
いく	行く	to go
いそぐ	急ぐ	to hurry
いる	(uk)	to be, to exist
いれる	入れる	to put in
うごく	動く	to move
うたう	歌う	to sing
うまれる	生まれる	to be born
うる	売る	to sell
えらぶ	選ぶ	to choose
おきる	起きる	to wake up, to get up
おくる	送る	to send
おこる	怒る	to get angry
おしえる	教える	to teach, to tell
おす	押す	to push
おとす	落とす	to drop
おどる	踊る	to dance
おぼえる	覚える	to learn, to remember
おもう	思う	to think
およぐ	泳ぐ	to swim
おりる	降りる	to get off
おわる	終わる	to end
かう	買う	to buy
かう	飼う	to keep a pet
かえす	返す	to return something
かえる	帰る	to go home
かかる	かかる	to take
かく	描く	to draw
かく	書く	to write
（かぎを）かける	（鍵を）かける	to lock
（でんわを）かける	（電話を）かける	to make a phone call
（めがねを）かける	（眼鏡を）かける	to wear glasses
かす	貸す	to lend
かつ	勝つ	to win
かぶる	(uk)	to wear (hats etc)
かりる	借りる	to borrow
（のどが）かわく	(uk)	to be thirsty
かんがえる	考える	to think
がんばる	頑張る	to do one's best, to endure
きく	聞く、聴く	to hear, to listen
きこえる	聞こえる	to be audible
きめる	決める	to decide
きる	着る	to wear
くもる	曇る	to be cloudy
くる	来る	to come
こたえる	答える	to answer
こむ	混む	to be crowded
しぬ	死ぬ	to die
しめる	閉める	to close
しらせる	知らせる	to notify
しる	知る	to know
すう	吸う	to smoke, to inhale
（おなかが）すく	（お腹が）すく	to get hungry
すてる	捨てる	to throw out
すむ	住む	to live
する	(uk)	to do
すわる	座る	to sit
だす	出す	to put out, to hand in
たすける	助ける	to help
たつ	立つ	to stand up
たてる	建てる	to build
たべる	食べる	to eat
ちがう	違う	to be different, to be wrong
つかう	使う	to use
つかれる	疲れる	to get tired
つく	着く	to arrive
つくる	作る	to make
（でんきを）つける	（電気を）つける	to switch on (a light)
つたえる	伝える	to pass on a message
つづける	続ける	to continue
できる	(uk)	to be able to
てつだう	手伝う	to help
でる	出る	to go out
とおる	通る	to go through
とまる	泊る	to stay somewhere
とまる	止まる	to stop
とる	取る	to take
とる	撮る	to take a photograph
なおす	直す	to repair
なく	泣く	to cry
なくす	(uk)	to lose
なげる	投げる	to throw
ならう	習う	to learn
なる	成る	to become
ぬぐ	脱ぐ	to take off (clothes)
ねる	寝る	to sleep, to go to bed
のぼる	登る、上る	to climb
のむ	飲む	to drink
のる	乗る	to ride on a method of transport
はいる	入る	to enter
はく	(uk)	to wear (shoes, trousers etc)
はじめる	始める	to start
はしる	走る	to run
はたらく	働く	to work
はなす	話す	to talk
はらう	払う	to pay
はれる	晴れる	to be sunny
ひく	弾く	to play a musical instrument
ひく	引く	to subtract, to draw a line
(かぜを）ひく	（風邪を）ひく	to catch a cold
ふえる	増える	to increase
（あめが）ふる	（雨が）降る	to rain
へる	減る	to decrease
まがる	曲がる	to turn
まける	負ける	to lose
まちがえる	間違える	to make a mistake
まつ	待つ	to wait
みえる	見える	to be visible
みがく	磨く	to polish
みせる	見せる	to show
みつける	見つける	to find
みる	見る	to see, to watch, to look
もつ	持つ	to hold, to carry
もっていく	持って行く	to take something
もってくる	持って来る	to bring something
もどる	戻る	to return
もらう	(uk)	to receive
やすむ	休む	to rest
（あめが）やむ	（雨が）やむ	to stop (raining)
やめる	辞める	to quit
よぶ	呼ぶ	to call
よむ	読む	to read
わかる	分かる	to understand
わすれる	忘れる	to forget
わらう	笑う	to laugh

Higher tier
--------------------------------------------------------------------------------
あがる	上がる	to rise
あく	開く	to open
あげる	上げる	to raise
（シャワーを）あびる	（シャワーを）浴びる	to have a shower
いきる	生きる	to live
いじめる	(uk)	to bully
いる	要る	to need
（しけんに）うかる	（試験に）受かる	to pass (an exam)
うける	受ける	to receive, to take an exam
うつ	打つ	to hit
おく	置く	to place, to put
おくれる	遅れる	to be late
おちる	落ちる	to fall
おもいだす	思い出す	to recall
かえる	変える、替える、換える	to change
かたづける	片づける	to tidy up
かむ	(uk)	to chew
かわる	変わる	to change
きまる	決まる	to be decided
きる	切る	to cut
きをつける	気を付ける	to be careful
くらべる	比べる	to compare
けす	消す	to switch off
こまる	困る	to be in trouble, to be stuck
ころぶ	転ぶ	to fall over
こわす	壊す	to break
こわれる	壊れる	to be broken
さがす	探す	to search for
さがる	下がる	to fall
さく	咲く	to bloom
さわる	触る	to touch
しまる	閉まる	to close
しめる	(uk)	to wear (belt, etc.)
しらべる	調べる	to investigate
しんじる	信じる	to believe
たずねる	尋ねる	to ask
たずねる	訪ねる	to visit
たたく	叩く	to strike
たのしむ	楽しむ	to enjoy
たのむ	頼む	to request
ついていく	ついて行く	to go (with someone)
ついてくる	ついて来る	to come (with someone)
つける	付ける	to attach
つづく	続く	to continue
つとめる	勤める	to work
つれていく	連れて行く	to take (someone)
つれてくる	連れて来る	to bring (someone)
でかける	出かける	to go out
とどける	届ける	to deliver
とぶ	飛ぶ、跳ぶ	to fly, to jump
とめる	止める	to stop
なおる	治る	to get better
なくなる	亡くなる	to pass away
なくなる	無くなる	to lose something
ならぶ	並ぶ	to line up
ならべる	並べる	to line up
にげる	逃げる	to run away
にる	似る	to be similar to
ぬすむ	盗む	to steal
のこす	残す	to leave something remaining
のりかえる	乗り換える	to change (trains)
はこぶ	運ぶ	to carry, to transport
はじまる	始まる	to start
はる	貼る	to attach, to stick
ひろう	拾う	to pick up
ふく	吹く	to blow
へらす	減らす	to reduce
まにあう	間に合う	to be on time, be sufficient
もうしこむ	申し込む	to apply, to register
やくにたつ	役に立つ	to be useful
やる	(uk)	to do, to give
ゆるす	許す、赦す	to permit, to forgive
よる	(uk)	to drop by
よろこぶ	喜ぶ	to rejoice
わかれる	別れる	to separate
わたる	渡る	to cross

I adjectives
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あかるい	明るい	bright
あたたかい	暖かい	warm
あたらしい	新しい	new
あつい	暑い	hot (climate)
あつい	熱い	hot (to touch)
あぶない	危ない	dangerous
いい	(uk)	good
いそがしい	忙しい	busy
いたい	痛い	painful
うるさい	(uk)	noisy
うれしい	(uk)	happy, pleased
おいしい	美味しい	tasty
おおい	多い	many
おおきい	大きい	large, big
おかしい	(uk)	funny
おそい	遅い	slow, late
おもしろい	面白い	interesting
かなしい	悲しい	sad
かわいい	(uk)	cute
きたない	汚い	dirty
きびしい	厳しい	strict, tough
くらい	暗い	dark
こわい	怖い	scary
さむい	寒い	cold
すくない	少ない	few
すごい	(uk)	fantastic
すずしい	涼しい	cool
すばらしい	素晴らしい	wonderful
たかい	高い	high, expensive
ただしい	正しい	correct
たのしい	楽しい	enjoyable
ちいさい	小さい	small
ちかい	近い	near
つまらない	(uk)	boring
つめたい	冷たい	cold (to touch)
つよい	強い	strong
とおい	遠い	far
ながい	長い	long
はやい	早い	early
はやい	速い	fast
ふるい	古い	old
ほしい	欲しい	desirable
まずい	(uk)	horrible to taste
まるい	丸い	round
みじかい	短い	short
むしあつい	蒸し暑い	hot and sticky
むずかしい	難しい	difficult
めずらしい	珍しい	unusual, rare
やさしい	優しい	kind
やすい	安い	cheap
よい	良い	good
よわい	弱い	weak
わかい	若い	young
わるい	悪い	bad

Higher tier
--------------------------------------------------------------------------------
あつい	厚い	thick
あまい	甘い	sweet
うすい	薄い	thin
うつくしい	美しい	beautiful
うまい	(uk)	tasty, good at
えらい	偉い	distinguished, great
おとなしい	(uk)	quiet
おもい	重い	heavy
かたい	硬い	hard
かっこいい	(uk)	stylish, good looking
からい	辛い	spicy
かるい	軽い	light (in weight)
くるしい	苦しい	trying, rough
くわしい	詳しい	detailed
さびしい	寂しい	lonely
せまい	狭い	narrow
ねむい	眠い	sleepy
はずかしい	恥ずかしい	embarrassing
ひくい	低い	low
ひろい	広い	wide, spacious
ふとい	太い	thick, wide
ほそい	細い	thin, narrow
やさしい	易しい	easy
やわらかい	柔らかい	soft

Na adjectives
================================================================================

Foundation tier
--------------------------------------------------------------------------------
いやな	嫌な	dislikeable
いろいろな	色々な	various
おいしそうな	(uk)	looks tasty
おおきな	大きな	large, big
きらいな	嫌いな	dislilkeable
きれいな	綺麗な	beautiful, pretty, clean
げんきな	元気な	lively, energentic, healthy
しずかな	静かな	quiet
